analysis_id,analysis_name,database_id,statistic,value,proportion,spec,evaluate_threshold,threshold,status,fail
1,DPP4I main_GLP1RA main_3-point MACE,truven_mdcd_2359_20230215,propWithCalendarTime,35253996.0113345,1.00000158879644,200601-202206,1,0.05,pass,0
1,DPP4I main_GLP1RA main_3-point MACE,truven_mdcd_2359_20230215,propInAgeRange,24966780,0.708198289325959,age 18 - age 100,1,0.05,pass,0
1,DPP4I main_GLP1RA main_3-point MACE,truven_mdcd_2359_20230215,propWithAgeAtFirstObs,17953950,0.509274991674689,age 18 - age 100,1,0.01,pass,0
1,DPP4I main_GLP1RA main_3-point MACE,truven_mdcd_2359_20230215,propWithEthnicityCriteria,35253950,1.00000028365624,"0, 38003563",1,0.05,pass,0
1,DPP4I main_GLP1RA main_3-point MACE,truven_mdcd_2359_20230215,propWithGenderCriteria,35253940,1,"8507, 8532",1,0.05,pass,0
1,DPP4I main_GLP1RA main_3-point MACE,truven_mdcd_2359_20230215,propWithLongitudinalCriteria,30030910,0.85184549585096,365  days,1,0.05,pass,0
1,DPP4I main_GLP1RA main_3-point MACE,truven_mdcd_2359_20230215,propWithRaceCriteria,35253950,1.00000028365624,"8527, 8516, 0",1,0.05,pass,0
1,DPP4I main_GLP1RA main_3-point MACE,truven_mdcd_2359_20230215,propWithRequiredComparatorConcepts,269180,0.00763545861824239,GLP1RA main,2,0,pass,0
1,DPP4I main_GLP1RA main_3-point MACE,truven_mdcd_2359_20230215,propWithRequiredDomain,24765830,0.702498217220543,"condition, drug",1,0.05,pass,0
1,DPP4I main_GLP1RA main_3-point MACE,truven_mdcd_2359_20230215,propWithRequiredOutcomeConcepts,6741610,0.191229973160447,3-point MACE,2,0,pass,0
1,DPP4I main_GLP1RA main_3-point MACE,truven_mdcd_2359_20230215,propWithRequiredTargetConcepts,249690,0.00708261261010826,DPP4I main,2,0,pass,0
1,DPP4I main_GLP1RA main_3-point MACE,truven_mdcd_2359_20230215,minSampleSize,53891,0.00152864875264809,> 1000,1,0,pass,0
1,DPP4I main_GLP1RA main_3-point MACE,truven_mdcd_2359_20230215,maxSampleSize,249690,0.00708261261010826,> 1000,1,1000,pass,0
