analysis_id,analysis_name,database_id,total_fails,min_sample_size,max_sample_size,prop_with_calendar_time,prop_in_age_range,prop_with_age_at_first_obs,prop_with_ethnicity_criteria,prop_with_gender_criteria,prop_with_longitudinal_criteria,prop_with_race_criteria,prop_with_required_comparator_concepts,prop_with_required_domain,prop_with_required_outcome_concepts,prop_with_required_target_concepts,prop_meas_records_with_values,prop_with_procedure_criteria,prop_with_observation_criteria,prop_with_death_criteria
1,DPP4I main_GLP1RA main_3-point MACE,US_OPEN_CLAIMS_20230313,0,2984398,14070770,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1,DPP4I main_GLP1RA main_3-point MACE,truven_ccae_2324_20230201,0,626883,1477240,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1,DPP4I main_GLP1RA main_3-point MACE,optum_extended_dod_2323_20230201,0,599920,1319840,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1,DPP4I main_GLP1RA main_3-point MACE,optum_extended_ses_2327_20230204,0,599919,1319840,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1,DPP4I main_GLP1RA main_3-point MACE,US_PharMetrics_Plus_20230330,0,546343,1455410,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1,DPP4I main_GLP1RA main_3-point MACE,optum_ehr_2247_20221205,0,381202,1326580,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1,DPP4I main_GLP1RA main_3-point MACE,truven_mdcr_2322_20230127,0,193421,240010,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1,DPP4I main_GLP1RA main_3-point MACE,pmtx_202203_20220831,0,113907,307900,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1,DPP4I main_GLP1RA main_3-point MACE,VA-OMOP_20230411,0,74531,502090,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1,DPP4I main_GLP1RA main_3-point MACE,truven_mdcd_2359_20230215,0,53891,249690,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1,DPP4I main_GLP1RA main_3-point MACE,UK_IMRD_THIN_20221230,0,32984,61890,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
